;Tempo[s];Z_onda[m];Z_heave[m];;;;
32932;3293,29148;-0,929711148;-0,295858618;;;;
32933;3293,391483;-0,942254244;-0,302510735;;;;
32934;3293,491486;-0,953620679;-0,308834943;;;;
32935;3293,591489;-0,963785702;-0,314825447;;;;
32936;3293,691491;-0,97273347;-0,320476822;;;;
32937;3293,791494;-0,980457468;-0,325784015;;;;
32938;3293,891497;-0,986960213;-0,330742349;;;;
32939;3293,9915;-0,992252268;-0,335347526;;;;
32940;3294,091503;-0,996350654;-0,339595629;;;;
32941;3294,191505;-0,999276809;-0,343483125;;;;
32942;3294,291508;-1,001054267;-0,347006867;;;;
32943;3294,391511;-1,00170627;-0,350164094;;;;
32944;3294,491514;-1,001253525;-0,352952433;;;;
32945;3294,591516;-0,999712305;-0,355369899;;;;
32946;3294,691519;-0,997093073;-0,357414897;;;;
32947;3294,791522;-0,993399733;-0,359086217;;;;
32948;3294,891525;-0,988629594;-0,360383039;;;;
32949;3294,991528;-0,982774043;-0,36130493;;;;
32950;3295,09153;-0,975819864;-0,36185184;;;;
32951;3295,191533;-0,967751084;-0,362024106;;;;
32952;3295,291536;-0,958551192;-0,361822444;;;;
32953;3295,391539;-0,948205515;-0,36124795;;;;
32954;3295,491541;-0,936703554;-0,360302096;;;;
32955;3295,591544;-0,924041055;-0,358986729;;;;
32956;3295,691547;-0,910221642;-0,357304065;;;;
32957;3295,79155;-0,895257853;-0,355256687;;;;
32958;3295,891553;-0,879171496;-0,352847537;;;;
32959;3295,991555;-0,861993275;-0,35007992;;;;
32960;3296,091558;-0,843761738;-0,346957491;;;;
32961;3296,191561;-0,824521615;-0,343484251;;;;
32962;3296,291564;-0,80432171;-0,339664548;;;;
32963;3296,391566;-0,783212529;-0,335503063;;;;
32964;3296,491569;-0,761243846;-0,33100481;;;;
32965;3296,591572;-0,738462424;-0,326175127;;;;
32966;3296,691575;-0,714910105;-0,32101967;;;;
32967;3296,791578;-0,690622414;-0,315544405;;;;
32968;3296,89158;-0,665627822;-0,309755602;;;;
32969;3296,991583;-0,639947716;-0,303659829;;;;
32970;3297,091586;-0,613597084;-0,297263941;;;;
32971;3297,191589;-0,586585842;-0,290575075;;;;
32972;3297,291591;-0,558920701;-0,283600638;;;;
32973;3297,391594;-0,530607378;-0,276348304;;;;
32974;3297,491597;-0,501652972;-0,268826;;;;
32975;3297,5916;-0,472068279;-0,261041901;;;;
32976;3297,691603;-0,441869839;-0,253004415;;;;
32977;3297,791605;-0,411081524;-0,244722184;;;;
32978;3297,891608;-0,379735531;-0,236204062;;;;
32979;3297,991611;-0,347872675;-0,227459114;;;;
32980;3298,091614;-0,315541961;-0,218496604;;;;
32981;3298,191616;-0,282799466;-0,209325982;;;;
32982;3298,291619;-0,249706623;-0,199956877;;;;
32983;3298,391622;-0,216328061;-0,190399086;;;;
32984;3298,491625;-0,182729193;-0,180662563;;;;
32985;3298,591628;-0,148973748;-0,170757406;;;;
32986;3298,69163;-0,115121485;-0,160693854;;;;
32987;3298,791633;-0,081226267;-0,150482265;;;;
32988;3298,891636;-0,04733469;-0,140133118;;;;
32989;3298,991639;-0,013485351;-0,12965699;;;;
32990;3299,091641;0,020291147;-0,119064554;;;;
32991;3299,191644;0,053971483;-0,108366566;;;;
32992;3299,291647;0,087538252;-0,097573852;;;;
32993;3299,39165;0,120978082;-0,086697298;;;;
32994;3299,491653;0,154279389;-0,075747842;;;;
32995;3299,591655;0,187429996;-0,064736461;;;;
32996;3299,691658;0,220414811;-0,053674159;;;;
32997;3299,791661;0,253213792;-0,042571961;;;;
32998;3299,891664;0,285800377;-0,031440896;;;;
32999;3299,991666;0,318140519;-0,020291993;;;;
33000;3300,091669;0,350192431;-0,009136267;;;;
33001;3300,191672;0,381907052;0,002015292;;;;
33002;3300,291675;0,413229207;0,013151727;;;;
33003;3300,391678;0,444099353;0,024262125;;;;
33004;3300,49168;0,474455775;0,035335629;;;;
33005;3300,591683;0,504237014;0,046361443;;;;
33006;3300,691686;0,533384341;0,057328848;;;;
33007;3300,791689;0,561844037;0,068227207;;;;
33008;3300,891691;0,589569299;0,079045979;;;;
33009;3300,991694;0,616521584;0,089774722;;;;
