,Tempo[s],Z_onda[m],Z_heave[m]
261,26.10072502,-0.867770626,-0.1651709165
262,26.2007278,-0.9429650313,-0.1664428295
263,26.30073058,-0.9768938896,-0.1675088927
264,26.40073335,-0.9682489686,-0.1683681184
265,26.50073613,-0.9175363438,-0.1690198789
266,26.60073891,-0.8270429303,-0.1694639064
267,26.70074169,-0.700729266,-0.1697002897
268,26.80074447,-0.5440539045,-0.1697294674
269,26.90074724,-0.3637373823,-0.1695522179
270,27.00075002,-0.1674759619,-0.1691696474
271,27.1007528,0.03638285669,-0.168583175
272,27.20075558,0.2391897483,-0.1677945162
273,27.30075835,0.4323537913,-0.1668056651
274,27.40076113,0.607699124,-0.1656188751
275,27.50076391,0.7578038761,-0.1642366402
276,27.60076669,0.8763079634,-0.1626616755
277,27.70076947,0.9581775399,-0.1608968982
278,27.80077224,0.9999155487,-0.1589454103
279,27.90077502,0.9997098366,-0.1568104815
280,28.0007778,0.9575126465,-0.1544955346
281,28.10078058,0.8750479031,-0.1520041318
282,28.20078336,0.755745478,-0.1493399637
283,28.30078613,0.6046044767,-0.1465068392
284,28.40078891,0.4279904309,-0.1435086787
285,28.50079169,0.2333739967,-0.1403495075
286,28.60079447,0.02902126025,-0.1370334523
287,28.70079724,-0.1763520875,-0.1335647376
288,28.80080002,-0.3739487103,-0.1299476848
289,28.9008028,-0.5552645193,-0.1261867107
290,29.00080558,-0.7124546843,-0.1222863271
291,29.10080836,-0.8386749995,-0.1182511408
292,29.20081113,-0.9283835597,-0.1140858524
293,29.30081391,-0.9775891148,-0.1097952562
294,29.40081669,-0.9840345202,-0.1053842375
295,29.50081947,-0.9473063378,-0.1008577709
296,29.60082225,-0.8688647502,-0.09622091614
297,29.70082502,-0.7519914215,-0.09147881367
298,29.8008278,-0.6016565952,-0.086636679
299,29.90083058,-0.4243104157,-0.08169979602
300,30.00083336,-0.2276070005,-0.0766735096
301,30.10083613,-0.02007300316,-0.07156321762
302,30.20083891,0.1892648713,-0.06637436263
303,30.30084169,0.3912768622,-0.06111242342
304,30.40084447,0.5771338008,-0.05578290692
305,30.50084725,0.7386990737,-0.05039134048
306,30.60085002,0.8688909573,-0.0449432651
307,30.7008528,0.9619986468,-0.03944422954
308,30.80085558,1.013937379,-0.03389978581
309,30.90085836,1.022430843,-0.02831548585
310,31.00086114,0.9871124554,-0.02269687986
311,31.10086391,0.9095408554,-0.01704951585
312,31.20086669,0.7931289973,-0.01137894075
313,31.30086947,0.6429902495,-0.005690702618
314,31.40087225,0.4657087613,0.00000964602453
315,31.50087502,0.2690448464,0.00571654417
